  year  month  day    lat     lon     vgs     ugs   adts
1993.0    1.0  1.0 34.625 128.625  0.0334  0.0254 0.5795
1993.0    1.0  1.0 34.625 128.875  0.1322  0.1084 0.5803
1993.0    1.0  1.0 34.625 129.125  0.2138  0.1456 0.6126
1993.0    1.0  1.0 34.625 129.375  0.2085  0.1006 0.6361
1993.0    1.0  1.0 34.625 129.625  0.1616  0.0451 0.6483
1993.0    1.0  1.0 34.625 129.875  0.1201  0.0653 0.6686
1993.0    1.0  1.0 34.625 130.125  0.0854  0.1110 0.6789
1993.0    1.0  1.0 34.625 130.375  0.0808  0.1250 0.6869
1993.0    1.0  1.0 34.625 130.625  0.1007  0.0879 0.6984
1993.0    1.0  1.0 34.625 130.875  0.0748 -0.0088 0.7005
1993.0    1.0  1.0 34.625 131.125 -0.0188 -0.1145 0.6944
1993.0    1.0  1.0 34.625 131.375 -0.0895 -0.1913 0.6783
1993.0    1.0  1.0 34.625 134.625 -0.0550  0.1604 0.7325
1993.0    1.0  1.0 34.625 136.875  0.0096 -0.0286 0.7295
1993.0    1.0  1.0 34.625 137.125  0.0492 -0.0983 0.6955
1993.0    1.0  1.0 34.625 137.375  0.0829 -0.2303 0.6741
1993.0    1.0  1.0 34.625 137.625  0.0633 -0.3752 0.6239
1993.0    1.0  1.0 34.625 138.375  0.1679 -0.0433 0.5974
1993.0    1.0  1.0 34.625 138.625  0.2034  0.1569 0.6229
1993.0    1.0  1.0 34.625 138.875  0.0594  0.2921 0.6704
1993.0    1.0  1.0 34.625 139.125 -0.0584  0.4217 0.7105
1993.0    1.0  1.0 34.625 139.375 -0.0053  0.5869 0.7042
1993.0    1.0  1.0 34.625 139.625  0.1310  0.7163 0.7102
1993.0    1.0  1.0 34.625 139.875  0.3019  0.8341 0.7505
1993.0    1.0  1.0 34.625 140.125  0.4489  0.9629 0.8178
1993.0    1.0  1.0 34.625 140.375  0.5645  1.0741 0.9063
1993.0    1.0  1.0 34.625 140.625  0.6604  1.0185 1.0216
1993.0    1.0  1.0 34.625 140.875  0.6450  0.7631 1.1558
1993.0    1.0  1.0 34.625 141.125  0.4879  0.4370 1.2709
1993.0    1.0  1.0 34.625 141.375  0.3623  0.1947 1.3519
1993.0    1.0  1.0 34.625 141.625  0.3388  0.0715 1.4155
1993.0    1.0  1.0 34.625 141.875  0.3207  0.0096 1.4741
1993.0    1.0  1.0 34.875 128.125 -0.0203 -0.0069 0.6328
1993.0    1.0  1.0 34.875 128.375 -0.0261 -0.0368 0.6164
1993.0    1.0  1.0 34.875 128.625 -0.0199  0.0155 0.5791
1993.0    1.0  1.0 34.875 128.875  0.0397  0.0998 0.5570
1993.0    1.0  1.0 34.875 129.125  0.1599  0.1764 0.5601
1993.0    1.0  1.0 34.875 129.375  0.2375  0.1637 0.5844
1993.0    1.0  1.0 34.875 129.625  0.1938  0.1140 0.6165
1993.0    1.0  1.0 34.875 129.875  0.0814  0.1040 0.6396
1993.0    1.0  1.0 34.875 130.125  0.0358  0.1264 0.6464
1993.0    1.0  1.0 34.875 130.375  0.0773  0.1439 0.6548
1993.0    1.0  1.0 34.875 130.625  0.1575  0.1348 0.6770
1993.0    1.0  1.0 34.875 130.875  0.1710  0.0845 0.7022
1993.0    1.0  1.0 34.875 131.125  0.0730  0.0030 0.7177
1993.0    1.0  1.0 34.875 131.375 -0.0481 -0.0801 0.7079
1993.0    1.0  1.0 34.875 131.625 -0.1100 -0.1353 0.6796
1993.0    1.0  1.0 34.875 131.875 -0.1114 -0.1395 0.6638
1993.0    1.0  1.0 34.875 136.875  0.0089 -0.0858 0.7345
1993.0    1.0  1.0 34.875 138.625  0.0449  0.1043 0.6192
1993.0    1.0  1.0 34.875 138.875 -0.0189  0.1888 0.6116
1993.0    1.0  1.0 34.875 139.125 -0.1744  0.2030 0.6065
1993.0    1.0  1.0 34.875 139.375 -0.1263  0.3084 0.6075
1993.0    1.0  1.0 34.875 139.625 -0.0119  0.3984 0.6136
1993.0    1.0  1.0 34.875 139.875  0.0977  0.5093 0.6219
1993.0    1.0  1.0 34.875 140.125  0.2301  0.6627 0.6417
1993.0    1.0  1.0 34.875 140.375  0.4352  0.8893 0.6879
1993.0    1.0  1.0 34.875 140.625  0.7211  1.0182 0.7921
1993.0    1.0  1.0 34.875 140.875  0.9066  1.0139 0.9575
1993.0    1.0  1.0 34.875 141.125  0.8300  0.8424 1.1323
1993.0    1.0  1.0 34.875 141.375  0.6328  0.5667 1.2754
1993.0    1.0  1.0 34.875 141.625  0.4893  0.3274 1.3803
1993.0    1.0  1.0 34.875 141.875  0.3866  0.1932 1.4595
1993.0    1.0  1.0 35.125 129.375  0.2564  0.2099 0.5333
1993.0    1.0  1.0 35.125 129.625  0.2553  0.1712 0.5790
1993.0    1.0  1.0 35.125 129.875  0.1001  0.1045 0.6108
1993.0    1.0  1.0 35.125 130.125  0.0095  0.0782 0.6189
1993.0    1.0  1.0 35.125 130.375  0.0449  0.1057 0.6234
1993.0    1.0  1.0 35.125 130.625  0.1449  0.1493 0.6423
1993.0    1.0  1.0 35.125 130.875  0.2030  0.1797 0.6743
1993.0    1.0  1.0 35.125 131.125  0.1483  0.1614 0.7025
1993.0    1.0  1.0 35.125 131.375 -0.0022  0.1080 0.7102
1993.0    1.0  1.0 35.125 131.625 -0.0938  0.0723 0.6960
1993.0    1.0  1.0 35.125 131.875 -0.0890  0.0329 0.6792
1993.0    1.0  1.0 35.125 132.125 -0.0471  0.0239 0.6660
1993.0    1.0  1.0 35.125 139.375 -0.1605 -0.0815 0.6116
1993.0    1.0  1.0 35.125 139.625 -0.0368  0.0131 0.6575
1993.0    1.0  1.0 35.125 139.875 -0.0020  0.0979 0.6306
1993.0    1.0  1.0 35.125 140.375  0.2429  0.4533 0.5497
1993.0    1.0  1.0 35.125 140.625  0.4714  0.6475 0.6013
1993.0    1.0  1.0 35.125 140.875  0.7823  0.9617 0.7223
1993.0    1.0  1.0 35.125 141.125  0.9641  1.1321 0.8940
1993.0    1.0  1.0 35.125 141.375  0.9325  1.0528 1.0832
1993.0    1.0  1.0 35.125 141.625  0.7425  0.8509 1.2453
1993.0    1.0  1.0 35.125 141.875  0.5184  0.6808 1.3628
1993.0    1.0  1.0 35.375 129.625  0.3292  0.1575 0.5464
1993.0    1.0  1.0 35.375 129.875  0.1853  0.0817 0.5940
1993.0    1.0  1.0 35.375 130.125  0.0188  0.0211 0.6094
1993.0    1.0  1.0 35.375 130.375 -0.0028  0.0234 0.6066
1993.0    1.0  1.0 35.375 130.625  0.0810  0.0713 0.6127
1993.0    1.0  1.0 35.375 130.875  0.1501  0.1422 0.6341
1993.0    1.0  1.0 35.375 131.125  0.1491  0.2027 0.6603
1993.0    1.0  1.0 35.375 131.375  0.0298  0.2169 0.6748
1993.0    1.0  1.0 35.375 131.625 -0.0663  0.1997 0.6682
1993.0    1.0  1.0 35.375 131.875 -0.0462  0.1700 0.6557
1993.0    1.0  1.0 35.375 132.125 -0.0011  0.1291 0.6505
1993.0    1.0  1.0 35.375 132.375  0.0597  0.1006 0.6588
1993.0    1.0  1.0 35.375 140.625  0.1134  0.2184 0.4870
1993.0    1.0  1.0 35.375 140.875  0.3734  0.5061 0.5346
1993.0    1.0  1.0 35.375 141.125  0.7205  0.8478 0.6475
1993.0    1.0  1.0 35.375 141.375  0.9281  1.0947 0.8138
1993.0    1.0  1.0 35.375 141.625  0.8586  1.1926 0.9891
1993.0    1.0  1.0 35.375 141.875  0.6710  1.1572 1.1350
1993.0    1.0  1.0 35.625 129.625  0.3534  0.1154 0.5189
1993.0    1.0  1.0 35.625 129.875  0.2667  0.0804 0.5780
1993.0    1.0  1.0 35.625 130.125  0.0713  0.0190 0.6062
1993.0    1.0  1.0 35.625 130.375 -0.0012 -0.0295 0.6072
1993.0    1.0  1.0 35.625 130.625  0.0225 -0.0249 0.6069
1993.0    1.0  1.0 35.625 130.875  0.0411  0.0417 0.6120
1993.0    1.0  1.0 35.625 131.125  0.0549  0.1370 0.6187
1993.0    1.0  1.0 35.625 131.375  0.0179  0.1922 0.6241
1993.0    1.0  1.0 35.625 131.625 -0.0406  0.1698 0.6217
1993.0    1.0  1.0 35.625 131.875 -0.0300  0.1382 0.6134
1993.0    1.0  1.0 35.625 132.125  0.0153  0.1394 0.6111
1993.0    1.0  1.0 35.625 132.375  0.0781  0.1497 0.6201
1993.0    1.0  1.0 35.625 132.625  0.1422  0.1231 0.6425
1993.0    1.0  1.0 35.625 133.375 -0.0866 -0.0809 0.6197
1993.0    1.0  1.0 35.625 140.875  0.0931  0.0758 0.4838
1993.0    1.0  1.0 35.625 141.125  0.3260  0.2616 0.5235
1993.0    1.0  1.0 35.625 141.375  0.5421  0.5987 0.6095
1993.0    1.0  1.0 35.625 141.625  0.6267  0.9617 0.7212
1993.0    1.0  1.0 35.625 141.875  0.6629  1.1721 0.8455
1993.0    1.0  1.0 35.875 129.875  0.3163  0.0433 0.5660
1993.0    1.0  1.0 35.875 130.125  0.1562 -0.0416 0.6086
1993.0    1.0  1.0 35.875 130.375  0.0396 -0.1175 0.6247
1993.0    1.0  1.0 35.875 130.625 -0.0489 -0.1050 0.6210
1993.0    1.0  1.0 35.875 130.875 -0.0923 -0.0056 0.6039
1993.0    1.0  1.0 35.875 131.125 -0.0486  0.0965 0.5869
1993.0    1.0  1.0 35.875 131.375  0.0150  0.1262 0.5824
1993.0    1.0  1.0 35.875 131.625  0.0120  0.0905 0.5870
1993.0    1.0  1.0 35.875 131.875 -0.0247  0.0608 0.5867
1993.0    1.0  1.0 35.875 132.125 -0.0163  0.0692 0.5833
1993.0    1.0  1.0 35.875 132.375  0.0747  0.0686 0.5893
1993.0    1.0  1.0 35.875 132.625  0.1984  0.0338 0.6170
1993.0    1.0  1.0 35.875 132.875  0.1575 -0.0094 0.6511
1993.0    1.0  1.0 35.875 133.125 -0.0115 -0.0255 0.6617
1993.0    1.0  1.0 35.875 133.375 -0.1300 -0.0290 0.6421
1993.0    1.0  1.0 35.875 133.625 -0.0474 -0.0499 0.6226
